MONTH,YEAR,DS,PowerGen from Coal & Lignite,PowerGen from Diesel,NG Production-Domestic,NG Consume by Electricity,PowerGen from Fuel Oil,NG Consume by GSP,PowerGen from HydroElec,NG Production-Import,PowerGen from Imported,NG Consume by Industry,NG Consume by NGV,PowerGen from Natural Gas,PowerGen from Renewable Energy
4,1986,1986-04-30,336.14,0.49,352.0,237.0,333.95,79.0,633.91,0.0,33.79,16.0,0.0,817.25,0.0
8,1986,1986-08-31,517.4,0.38,322.0,227.0,246.9,65.0,542.0,0.0,91.24,6.0,0.0,800.96,0.0
12,1986,1986-12-31,589.38,0.09,379.0,271.0,265.77,77.0,229.09,0.0,43.0,7.0,0.0,966.21,0.0
2,1986,1986-02-28,323.55,2.05,350.0,235.0,288.67,74.0,391.76,0.0,52.14,12.0,0.0,755.35,0.0
1,1986,1986-01-31,512.63,0.19,370.0,251.0,229.46,75.0,218.9,0.0,57.0,13.0,0.0,880.34,0.0
7,1986,1986-07-31,496.77,0.38,331.0,232.0,243.03,65.0,525.44,0.0,92.74,6.0,0.0,820.81,0.0
6,1986,1986-06-30,449.51,0.6,343.0,248.0,208.12,61.0,615.11,0.0,65.32,13.0,0.0,845.57,0.0
3,1986,1986-03-31,331.95,4.97,373.0,255.0,227.37,82.0,629.74,0.0,41.86,19.0,0.0,899.54,0.0
5,1986,1986-05-31,404.26,0.64,362.0,254.0,302.11,76.0,498.05,0.0,47.28,11.0,0.0,900.01,0.0
11,1986,1986-11-30,496.34,0.11,357.0,269.0,261.86,60.0,407.21,0.0,61.92,6.0,0.0,923.61,0.0
10,1986,1986-10-31,579.68,0.17,354.0,252.0,357.69,75.0,362.4,0.0,75.31,4.0,0.0,901.73,0.0
9,1986,1986-09-30,503.67,0.17,308.0,216.0,369.95,63.0,478.09,0.0,96.78,4.0,0.0,740.33,0.0
4,1987,1987-04-30,598.14,0.17,438.0,336.0,197.22,68.0,485.04,0.0,34.66,4.0,0.0,1134.38,0.0
8,1987,1987-08-31,607.47,0.19,515.0,392.0,156.56,78.0,379.76,0.0,24.92,4.0,0.0,1375.53,0.0
12,1987,1987-12-31,533.74,0.03,505.0,377.0,230.59,79.0,123.51,0.0,64.95,5.0,0.0,1335.9,0.96
