DS,NG CONS EGAT,NG CONS GSP,NG CONS IPP,NG CONS Industry,NG CONS NGV,NG CONS SPP,NG PRD Domestic,NG PRD Import,POWGEN DEDP,POWGEN EGAT,POWGEN IPP,POWGEN Import,POWGEN SPP,POWGEN VSPP
1986-04-30,237.0,79.0,0.0,16.0,0.0,0.0,352.0,0.0,0.0,2121.74,0.0,33.79,0.0,0.0
1986-08-31,227.0,65.0,0.0,6.0,0.0,0.0,322.0,0.0,0.0,2107.640000000001,0.0,91.24,0.0,0.0
1986-12-31,271.0,77.0,0.0,7.0,0.0,0.0,379.0,0.0,0.0,2050.54,0.0,43.0,0.0,0.0
1986-02-28,235.0,74.0,0.0,12.0,0.0,0.0,350.0,0.0,0.0,1761.38,0.0,52.14,0.0,0.0
1986-01-31,251.0,75.0,0.0,13.0,0.0,0.0,370.0,0.0,0.0,1841.52,0.0,57.0,0.0,0.0
1986-07-31,232.0,65.0,0.0,6.0,0.0,0.0,331.0,0.0,0.0,2086.4300000000007,0.0,92.74,0.0,0.0
1986-06-30,248.0,61.0,0.0,13.0,0.0,0.0,343.0,0.0,0.0,2118.91,0.0,65.32,0.0,0.0
1986-03-31,255.0,82.0,0.0,19.0,0.0,0.0,373.0,0.0,0.0,2093.57,0.0,41.86,0.0,0.0
1986-05-31,254.0,76.0,0.0,11.0,0.0,0.0,362.0,0.0,0.0,2105.07,0.0,47.28,0.0,0.0
1986-11-30,269.0,60.0,0.0,6.0,0.0,0.0,357.0,0.0,0.0,2089.13,0.0,61.92,0.0,0.0
1986-10-31,252.0,75.0,0.0,4.0,0.0,0.0,354.0,0.0,0.0,2201.67,0.0,75.31,0.0,0.0
1986-09-30,216.0,63.0,0.0,4.0,0.0,0.0,308.0,0.0,0.0,2092.21,0.0,96.78,0.0,0.0
1987-04-30,336.0,68.0,0.0,4.0,0.0,0.0,438.0,0.0,0.0,2414.9500000000007,0.0,34.66,0.0,0.0
1987-08-31,392.0,78.0,0.0,4.0,0.0,0.0,515.0,0.0,0.0,2519.51,0.0,24.92,0.0,0.0
