ds,y
1986-04-01,817.25
1986-08-01,800.96
1986-12-01,966.21
1986-02-01,755.35
1986-01-01,880.34
1986-07-01,820.81
1986-06-01,845.57
1986-03-01,899.54
1986-05-01,900.01
1986-11-01,923.61
1986-10-01,901.73
1986-09-01,740.33
1987-04-01,1134.38
1987-08-01,1375.53
1987-12-01,1335.9
1987-02-01,1014.48
1987-01-01,1013.43
1987-07-01,1405.16
1987-06-01,1445.47
1987-03-01,1150.4
1987-05-01,1267.82
1987-11-01,1467.48
1987-10-01,1502.91
1987-09-01,1510.7
1988-04-01,1478.56
1988-08-01,1641.23
1988-12-01,1585.4
1988-02-01,1469.13
1988-01-01,1505.89
1988-07-01,1554.37
1988-06-01,1584.31
1988-03-01,1529.92
1988-05-01,1572.08
1988-11-01,1545.27
1988-10-01,1642.22
1988-09-01,1611.5
1989-04-01,1543.28
1989-08-01,1635.85
1989-12-01,1521.7
1989-02-01,1396.71
1989-01-01,1619.19
1989-07-01,1735.76
1989-06-01,1692
1989-03-01,1575.68
1989-05-01,1691.85
1989-11-01,1420.03
1989-10-01,1720.46
1989-09-01,1642.24
1990-04-01,1470.67
1990-08-01,1464.95
1990-12-01,1426.79
1990-02-01,1363.23
1990-01-01,1508.3
1990-07-01,1439.4
1990-06-01,1470.7
1990-03-01,1568.29
1990-05-01,1597.16
1990-11-01,1515.03
1990-10-01,1426.84
1990-09-01,1513.7
1991-04-01,1641.54
1991-08-01,994.92
1991-12-01,1347.62
1991-02-01,1428.92
1991-01-01,1495.83
1991-07-01,1795.7
1991-06-01,1933.54
1991-03-01,1797.33
1991-05-01,1898.31
1991-11-01,1467.22
1991-10-01,1601.55
1991-09-01,1648.71
1992-04-01,1723.41
1992-08-01,2127.24
1992-12-01,2314.54
1992-02-01,1368.82
1992-01-01,1436.21
1992-07-01,1941.91
1992-06-01,1830.98
1992-03-01,1500.77
1992-05-01,2004.46
1992-11-01,2214.63
1992-10-01,2197.44
1992-09-01,2282.63
1993-04-01,2367.726
1993-08-01,2189.237
1993-12-01,2377.881
1993-02-01,2233.516
1993-01-01,2252.209
1993-07-01,2392.839
1993-06-01,2234.096
1993-03-01,2454.566
1993-05-01,2336.6
1993-11-01,2255.369
1993-10-01,2473.185
1993-09-01,2385.936
1994-04-01,2504.81
1994-08-01,2712.51
1994-12-01,2777.994
1994-02-01,2311.103
1994-01-01,2399.783
1994-07-01,2712.596
1994-06-01,2628.598
1994-03-01,2770.875
1994-05-01,2550.16
1994-11-01,2714.084
1994-10-01,2776.361
1994-09-01,2625.924
1995-04-01,2643.776
1995-08-01,3087.4491
1995-12-01,2799.9408
1995-02-01,2486.585
1995-01-01,2749.659
1995-07-01,2953.92835
1995-06-01,2688.568
1995-03-01,2833.769
1995-05-01,2777.014
1995-11-01,2818.1495
1995-10-01,3065.1877
1995-09-01,2959.2358
1996-04-01,2850.2997
1996-08-01,2963.5681
1996-12-01,3297.60625
1996-02-01,2504.4673
1996-01-01,2746.8602
1996-07-01,3106.67725
1996-06-01,2871.87545
1996-03-01,2882.4945
1996-05-01,3090.87075
1996-11-01,3457.064
1996-10-01,3592.59605
1996-09-01,3068.96465
1997-04-01,3445.04517
1997-08-01,3895.52004
1997-12-01,3926.927282
1997-02-01,3221.88768
1997-01-01,3471.69055
1997-07-01,3916.66188
1997-06-01,3704.68559
1997-03-01,3557.35735
1997-05-01,3788.38471
1997-11-01,3921.23666
1997-10-01,3925.75185
1997-09-01,3798.52487
1998-04-01,3585.3766
1998-08-01,4368.82767
1998-12-01,4015.036803
1998-02-01,3774.14586
1998-01-01,3887.49691
1998-07-01,4153.31845
1998-06-01,3934.37737
1998-03-01,4265.98591
1998-05-01,4123.09792
1998-11-01,4151.08063
1998-10-01,4412.85913
1998-09-01,4349.52472
1999-04-01,4509.683387
1999-08-01,4457.33482
1999-12-01,4298.74817
1999-02-01,3924.79108
1999-01-01,4080.215313
1999-07-01,4463.91212
1999-06-01,4852.835814
1999-03-01,4644.89741
1999-05-01,4717.242386
1999-11-01,4622.44683
1999-10-01,4791.77218
1999-09-01,4440.555119
2000-04-01,4420.73473
2000-08-01,5393.856992
2000-12-01,5533.24424
2000-02-01,4526.928351
2000-01-01,4648.67078
2000-07-01,5341.41618
2000-06-01,5198.32109
2000-03-01,4948.285713
2000-05-01,5198.17426
2000-11-01,5172.79987
2000-10-01,5474.55431
2000-09-01,5237.57235
2001-04-01,6151.69431
2001-08-01,6115.26375
2001-12-01,5383.93116
2001-02-01,5342.99356
2001-01-01,5560.4985
2001-07-01,6363.87015
2001-06-01,6285.1374
2001-03-01,6064.242045
2001-05-01,6333.50064
2001-11-01,5505.06672
2001-10-01,6267.65499
2001-09-01,5854.92609
2002-04-01,6399.17806
2002-08-01,6982.19439
2002-12-01,6417.44485
2002-02-01,5683.19541
2002-01-01,5689.22297
2002-07-01,7340.67118
2002-06-01,7156.95644
2002-03-01,6674.43073
2002-05-01,7023.38373
2002-11-01,6290.70407
2002-10-01,6734.45434
2002-09-01,6518.40515
2003-04-01,7204.7557
2003-08-01,7706.70627
2003-12-01,6575.68065
2003-02-01,6048.95529
2003-01-01,6115.80199
2003-07-01,7497.97172
2003-06-01,7181.36041
2003-03-01,7309.72838
2003-05-01,7574.82505
2003-11-01,7254.98481
2003-10-01,7817.93321
2003-09-01,7399.12303
2004-04-01,7591.44379
2004-08-01,7971.6038
2004-12-01,6935.434831
2004-02-01,6580.05258
2004-01-01,6535.61385
2004-07-01,7967.66697
2004-06-01,7569.8802
2004-03-01,7953.72999
2004-05-01,7815.15899
2004-11-01,7627.171938
2004-10-01,7923.651878
2004-09-01,7817.64226
2005-04-01,7676.46322
2005-08-01,8202.29487
2005-12-01,7119.365768
2005-02-01,7351.06654
2005-01-01,7271.004517
2005-07-01,8047.26175
2005-06-01,8117.14056
2005-03-01,8215.16984
2005-05-01,8709.35498
2005-11-01,7866.012181
2005-10-01,8025.5183
2005-09-01,7866.96994
2006-04-01,7827.542709
2006-08-01,8067.034485
2006-12-01,7351.116343
2006-02-01,6813.991013
2006-01-01,7335.65297
2006-07-01,8084.406616
2006-06-01,7985.80043
2006-03-01,8573.072352
2006-05-01,8544.187164
2006-11-01,8023.881754
2006-10-01,7954.942198
2006-09-01,7876.828326
2007-04-01,8001.947277
2007-08-01,8554.81963
2007-12-01,7794.678222
2007-02-01,7042.446179
2007-01-01,7315.043858
2007-07-01,8457.310532
2007-06-01,8621.458083
2007-03-01,8829.521519
2007-05-01,8681.213512
2007-11-01,7847.089784
2007-10-01,8278.434966
2007-09-01,8819.507071
2008-04-01,8181.950588
2008-08-01,9641.281555
2008-12-01,7341.047469
2008-02-01,7817.421619
2008-01-01,7950.281067
2008-07-01,9590.386107
2008-06-01,9243.194407
2008-03-01,8954.575709
2008-05-01,9342.356519
2008-11-01,8194.622183
2008-10-01,9301.842434
2008-09-01,8898.961308
2009-04-01,8579.835954
2009-08-01,9417.869056
2009-12-01,8795.379648
2009-02-01,7680.213357
2009-01-01,6572.126107
2009-07-01,9262.071536
2009-06-01,9273.553772
2009-03-01,9168.347062
2009-05-01,9283.291566
2009-11-01,9086.124972
2009-10-01,9738.345998
2009-09-01,9486.151247
2010-04-01,9750.902334
2010-08-01,9761.264867
2010-12-01,9740.437472
2010-02-01,9265.130892
2010-01-01,8883.912628
2010-07-01,10238.2475
2010-06-01,10327.3115
2010-03-01,10044.71981
2010-05-01,10583.45392
2010-11-01,9694.455994
2010-10-01,10142.01921
2010-09-01,10006.29488
2011-04-01,8822.743526
2011-08-01,9777.934574
2011-12-01,8381.09018
2011-02-01,8573.823918
2011-01-01,8566.364178
2011-07-01,9335.425861
2011-06-01,9653.175492
2011-03-01,9552.369226
2011-05-01,10019.10809
2011-11-01,8447.818373
2011-10-01,8210.108334
2011-09-01,8921.360458
2012-04-01,8968.933121
