YEAR_PRD,MONTH_PRD,SECTOR,SUBSECTOR,QTY
1986,JAN,Electricity,EGAT,251
1986,JAN,GSP,GSP,75
1986,JAN,Industry,Industry,13
1986,FEB,Electricity,EGAT,235
1986,FEB,GSP,GSP,74
1986,FEB,Industry,Industry,12
1986,MAR,Electricity,EGAT,255
1986,MAR,GSP,GSP,82
1986,MAR,Industry,Industry,19
1986,APR,Electricity,EGAT,237
1986,APR,GSP,GSP,79
1986,APR,Industry,Industry,16
1986,MAY,Electricity,EGAT,254
1986,MAY,GSP,GSP,76
1986,MAY,Industry,Industry,11
1986,JUN,Electricity,EGAT,248
1986,JUN,GSP,GSP,61
1986,JUN,Industry,Industry,13
1986,JUL,Electricity,EGAT,232
1986,JUL,GSP,GSP,65
1986,JUL,Industry,Industry,6
1986,AUG,Electricity,EGAT,227
1986,AUG,GSP,GSP,65
1986,AUG,Industry,Industry,6
1986,SEP,Electricity,EGAT,216
1986,SEP,GSP,GSP,63
1986,SEP,Industry,Industry,4
1986,OCT,Electricity,EGAT,252
1986,OCT,GSP,GSP,75
1986,OCT,Industry,Industry,4
1986,NOV,Electricity,EGAT,269
1986,NOV,GSP,GSP,60
1986,NOV,Industry,Industry,6
1986,DEC,Electricity,EGAT,271
1986,DEC,GSP,GSP,77
1986,DEC,Industry,Industry,7
1987,JAN,Electricity,EGAT,283
1987,JAN,GSP,GSP,80
1987,JAN,Industry,Industry,6
1987,FEB,Electricity,EGAT,317
1987,FEB,GSP,GSP,80
1987,FEB,Industry,Industry,4
1987,MAR,Electricity,EGAT,331
1987,MAR,GSP,GSP,79
1987,MAR,Industry,Industry,5
1987,APR,Electricity,EGAT,336
1987,APR,GSP,GSP,68
1987,APR,Industry,Industry,4
1987,MAY,Electricity,EGAT,371
1987,MAY,GSP,GSP,48
1987,MAY,Industry,Industry,5
1987,JUN,Electricity,EGAT,434
1987,JUN,GSP,GSP,77
1987,JUN,Industry,Industry,4
1987,JUL,Electricity,EGAT,402
1987,JUL,GSP,GSP,78
1987,JUL,Industry,Industry,4
1987,AUG,Electricity,EGAT,392
1987,AUG,GSP,GSP,78
1987,AUG,Industry,Industry,4
1987,SEP,Electricity,EGAT,441
1987,SEP,GSP,GSP,79
1987,SEP,Industry,Industry,3
1987,OCT,Electricity,EGAT,431
1987,OCT,GSP,GSP,46
1987,OCT,Industry,Industry,5
1987,NOV,Electricity,EGAT,432
1987,NOV,GSP,GSP,35
1987,NOV,Industry,Industry,5
1987,DEC,Electricity,EGAT,377
1987,DEC,GSP,GSP,79
1987,DEC,Industry,Industry,5
1988,JAN,Electricity,EGAT,425
1988,JAN,GSP,GSP,77
1988,JAN,Industry,Industry,4
1988,FEB,Electricity,EGAT,446
1988,FEB,GSP,GSP,77
1988,FEB,Industry,Industry,6
1988,MAR,Electricity,EGAT,435
1988,MAR,GSP,GSP,78
1988,MAR,Industry,Industry,7
1988,APR,Electricity,EGAT,435
1988,APR,GSP,GSP,74
1988,APR,Industry,Industry,7
1988,MAY,Electricity,EGAT,449
1988,MAY,GSP,GSP,79
1988,MAY,Industry,Industry,7
1988,JUN,Electricity,EGAT,470
1988,JUN,GSP,GSP,77
1988,JUN,Industry,Industry,7
1988,JUL,Electricity,EGAT,447
1988,JUL,GSP,GSP,78
1988,JUL,Industry,Industry,7
1988,AUG,Electricity,EGAT,471
1988,AUG,GSP,GSP,69
1988,AUG,Industry,Industry,6
1988,SEP,Electricity,EGAT,469
1988,SEP,GSP,GSP,65
1988,SEP,Industry,Industry,8
1988,OCT,Electricity,EGAT,468
1988,OCT,GSP,GSP,72
1988,OCT,Industry,Industry,9
1988,NOV,Electricity,EGAT,460
1988,NOV,GSP,GSP,58
1988,NOV,Industry,Industry,7
1988,DEC,Electricity,EGAT,447
1988,DEC,GSP,GSP,81
1988,DEC,Industry,Industry,9
1989,JAN,Electricity,EGAT,447
1989,JAN,GSP,GSP,81
1989,JAN,Industry,Industry,9
1989,FEB,Electricity,EGAT,437
1989,FEB,GSP,GSP,74
1989,FEB,Industry,Industry,11
1989,MAR,Electricity,EGAT,441
1989,MAR,GSP,GSP,79
1989,MAR,Industry,Industry,11
1989,APR,Electricity,EGAT,452
1989,APR,GSP,GSP,80
1989,APR,Industry,Industry,8
1989,MAY,Electricity,EGAT,477
1989,MAY,GSP,GSP,23
1989,MAY,Industry,Industry,8
1989,JUN,Electricity,EGAT,494
1989,JUN,GSP,GSP,20
1989,JUN,Industry,Industry,9
1989,JUL,Electricity,EGAT,498
1989,JUL,GSP,GSP,4
1989,JUL,Industry,Industry,9
1989,AUG,Electricity,EGAT,467
1989,AUG,GSP,GSP,36
1989,AUG,Industry,Industry,9
1989,SEP,Electricity,EGAT,489
1989,SEP,Industry,Industry,9
1989,OCT,Electricity,EGAT,485
1989,OCT,GSP,GSP,25
1989,OCT,Industry,Industry,9
1989,NOV,Electricity,EGAT,429
1989,NOV,GSP,GSP,85
1989,NOV,Industry,Industry,11
1989,DEC,Electricity,EGAT,439
1989,DEC,GSP,GSP,99
1989,DEC,Industry,Industry,12
1990,JAN,Electricity,EGAT,434
1990,JAN,GSP,GSP,85
1990,JAN,Industry,Industry,14
1990,FEB,Electricity,EGAT,440
1990,FEB,GSP,GSP,88
1990,FEB,Industry,Industry,14
1990,MAR,Electricity,EGAT,448
1990,MAR,GSP,GSP,86
1990,MAR,Industry,Industry,14
1990,APR,Electricity,EGAT,445
1990,APR,GSP,GSP,89
1990,APR,Industry,Industry,14
1990,MAY,Electricity,EGAT,459
1990,MAY,GSP,GSP,71
1990,MAY,Industry,Industry,15
