YEAR_PRD,MONTH_PRD,SOURCE,PLANT,QTY
2016,APR,Domestic Production,Arthit,253
2016,APR,Domestic Production,Bongkot,1034
2016,APR,Domestic Production,Erawan,1381
2016,APR,Domestic Production,JDA,571
2016,APR,Domestic Production,Lanta,3
2016,APR,Domestic Production,Nam phong,11
2016,APR,Domestic Production,Oths.,1
2016,APR,Domestic Production,Pailin,348
2016,APR,Domestic Production,Phu horm,125
2016,APR,Domestic Production,Sirikit,44
2016,APR,Domestic Production,Tan tawan,148
2016,APR,Domestic Production,Yoong thong,16
2016,APR,Import,LNG ,300
2016,APR,Import,Yadana,421
2016,APR,Import,Yetakun,177
2016,APR,Import,Zawtika,228
2016,AUG,Domestic Production,Arthit,250
2016,AUG,Domestic Production,Bongkot,542
2016,AUG,Domestic Production,Bongkot Tai,368
2016,AUG,Domestic Production,Erawan,1420
2016,AUG,Domestic Production,JDA,400
2016,AUG,Domestic Production,Jasmin,6
2016,AUG,Domestic Production,Lanta,11
2016,AUG,Domestic Production,Nam phong,11
2016,AUG,Domestic Production,Oths.,6
2016,AUG,Domestic Production,Pailin,327
2016,AUG,Domestic Production,Phu horm,115
2016,AUG,Domestic Production,Sirikit,43
2016,AUG,Domestic Production,Tan tawan,137
2016,AUG,Domestic Production,Yoong thong,5
2016,AUG,Import,LNG ,288
2016,AUG,Import,Yadana,446
2016,AUG,Import,Yetakun,232
2016,AUG,Import,Zawtika,233
2016,DEC,Domestic Production,Arthit,242
2016,DEC,Domestic Production,Bongkot,621
2016,DEC,Domestic Production,Bongkot Tai,401
2016,DEC,Domestic Production,Erawan,1233
2016,DEC,Domestic Production,JDA,489
2016,DEC,Domestic Production,Jasmin,7
2016,DEC,Domestic Production,Lanta,11
2016,DEC,Domestic Production,Nam phong,11
2016,DEC,Domestic Production,Oths.,5
2016,DEC,Domestic Production,Pailin,320
2016,DEC,Domestic Production,Phu horm,127
2016,DEC,Domestic Production,Sirikit,57
2016,DEC,Domestic Production,Tan tawan,134
2016,DEC,Domestic Production,Yoong thong,5
2016,DEC,Import,LNG ,292
2016,DEC,Import,Yadana,382
2016,DEC,Import,Yetakun,181
2016,DEC,Import,Zawtika,216
2016,FEB,Domestic Production,Arthit,246
2016,FEB,Domestic Production,Bongkot,1037
2016,FEB,Domestic Production,Erawan,1390
2016,FEB,Domestic Production,JDA,550
2016,FEB,Domestic Production,Lanta,2
