YEAR_PRD,MONTH_PRD,FUEL_SOURCE,QTY
1986,APR,EGAT,2121.74
1986,APR,IMPORTED,33.79
1986,AUG,EGAT,2107.6400000000003
1986,AUG,IMPORTED,91.24
1986,DEC,EGAT,2050.54
1986,DEC,IMPORTED,43
1986,FEB,EGAT,1761.3799999999999
1986,FEB,IMPORTED,52.14
1986,JAN,EGAT,1841.52
1986,JAN,IMPORTED,57
1986,JUL,EGAT,2086.4300000000003
1986,JUL,IMPORTED,92.74
1986,JUN,EGAT,2118.91
1986,JUN,IMPORTED,65.32
1986,MAR,EGAT,2093.5699999999997
1986,MAR,IMPORTED,41.86
1986,MAY,EGAT,2105.07
1986,MAY,IMPORTED,47.28
1986,NOV,EGAT,2089.13
1986,NOV,IMPORTED,61.92
1986,OCT,EGAT,2201.67
1986,OCT,IMPORTED,75.31
1986,SEP,EGAT,2092.21
1986,SEP,IMPORTED,96.78
1987,APR,EGAT,2414.9500000000003
1987,APR,IMPORTED,34.66
1987,AUG,EGAT,2519.5099999999998
1987,AUG,IMPORTED,24.92
1987,DEC,EGAT,2223.7700000000004
1987,DEC,IMPORTED,64.95
1987,DEC,DEDP,0.96
1987,FEB,EGAT,2056.93
1987,FEB,IMPORTED,33.13
1987,JAN,EGAT,2086.48
1987,JAN,IMPORTED,39.23
1987,JUL,EGAT,2528.3199999999997
1987,JUL,IMPORTED,17.9
1987,JUN,EGAT,2434.5699999999997
1987,JUN,IMPORTED,31.82
1987,MAR,EGAT,2440.6200000000003
1987,MAR,IMPORTED,31.59
1987,MAY,EGAT,2498.87
1987,MAY,IMPORTED,29.97
1987,NOV,EGAT,2419.25
1987,NOV,IMPORTED,50.73
1987,NOV,DEDP,1.39
1987,OCT,EGAT,2505.54
1987,OCT,IMPORTED,48.21
1987,OCT,DEDP,2.57
1987,SEP,EGAT,2439.88
1987,SEP,IMPORTED,8.34
1988,APR,EGAT,2747.52
1988,APR,IMPORTED,28.99
1988,APR,DEDP,0.54
1988,AUG,EGAT,2813.2000000000003
1988,AUG,IMPORTED,44.71
1988,AUG,DEDP,8.95
1988,DEC,EGAT,2631.3700000000003
1988,DEC,IMPORTED,33.55
1988,DEC,DEDP,1.47
1988,FEB,EGAT,2426.84
1988,FEB,IMPORTED,43.73
1988,FEB,DEDP,1.24
1988,JAN,EGAT,2429.04
1988,JAN,IMPORTED,43.13
1988,JAN,DEDP,1.55
1988,JUL,EGAT,2768.09
1988,JUL,IMPORTED,31.19
1988,JUL,DEDP,7.26
1988,JUN,EGAT,2726.34
1988,JUN,IMPORTED,32.51
1988,JUN,DEDP,1.74
1988,MAR,EGAT,2865.9500000000003
1988,MAR,IMPORTED,29.84
1988,MAR,DEDP,0.54
1988,MAY,EGAT,2756.47
1988,MAY,IMPORTED,26.89
1988,MAY,DEDP,0.16
1988,NOV,EGAT,2598.06
1988,NOV,IMPORTED,39.05
1988,NOV,DEDP,1.86
1988,OCT,EGAT,2815.2700000000004
1988,OCT,IMPORTED,40.68
1988,OCT,DEDP,2.13
1988,SEP,EGAT,2804.9
1988,SEP,IMPORTED,35.51
1988,SEP,DEDP,2.75
1989,APR,EGAT,3173.4199999999996
1989,APR,IMPORTED,28.85
1989,APR,DEDP,0.59
1989,AUG,EGAT,3227.71
1989,AUG,IMPORTED,66.61
1989,AUG,DEDP,2.23
1989,DEC,EGAT,3039.34
1989,DEC,IMPORTED,81.51
1989,DEC,DEDP,0.92
1989,FEB,EGAT,2642.53
1989,FEB,IMPORTED,25.21
1989,FEB,DEDP,0.67
1989,JAN,EGAT,2893.2300000000005
1989,JAN,IMPORTED,27.07
1989,JAN,DEDP,0.75
1989,JUL,EGAT,3184.5899999999997
1989,JUL,IMPORTED,56.55
1989,JUL,DEDP,1.87
1989,JUN,EGAT,3136.1
1989,JUN,IMPORTED,38.09
1989,JUN,DEDP,1.47
1989,MAR,EGAT,3175.6099999999997
1989,MAR,IMPORTED,27.94
1989,MAR,DEDP,0.63
1989,MAY,EGAT,3274.24
1989,MAY,IMPORTED,28.44
1989,MAY,DEDP,0.88
1989,NOV,EGAT,3153.9900000000002
1989,NOV,IMPORTED,84.79
1989,NOV,DEDP,1.42
1989,OCT,EGAT,3265.9700000000003
1989,OCT,IMPORTED,80.99
1989,OCT,DEDP,3.34
1989,SEP,EGAT,3364.340000000002
1989,SEP,IMPORTED,66.05
1989,SEP,DEDP,2.34
1990,APR,EGAT,3668.691
1990,APR,IMPORTED,39.76
1990,APR,DEDP,1.39
1990,AUG,EGAT,3851.621
1990,AUG,IMPORTED,64.41
1990,AUG,DEDP,3.81
1990,DEC,EGAT,3594.271
1990,DEC,IMPORTED,60.21
1990,DEC,DEDP,0.77
1990,FEB,EGAT,3271.432
1990,FEB,IMPORTED,51.83
1990,FEB,DEDP,0.843
1990,JAN,EGAT,3341.621
1990,JAN,IMPORTED,67.57
1990,JAN,DEDP,0.95
1990,JUL,EGAT,3747.0009999999997
1990,JUL,IMPORTED,56.34
1990,JUL,DEDP,3.79
1990,JUN,EGAT,3771.9110000000005
1990,JUN,IMPORTED,48.59
1990,JUN,DEDP,3.08
1990,MAR,EGAT,3755.431
1990,MAR,IMPORTED,48.2
1990,MAR,DEDP,1.27
1990,MAY,EGAT,3842.3710000000005
1990,MAY,IMPORTED,32.66
1990,MAY,DEDP,2.36
1990,NOV,EGAT,3705.591
1990,NOV,IMPORTED,56.41
1990,NOV,DEDP,1.29
1990,OCT,EGAT,3802.1620000000003
1990,OCT,IMPORTED,65.95
1990,OCT,DEDP,1.63
1990,SEP,EGAT,3736.4230000000002
1990,SEP,IMPORTED,60.39
1990,SEP,DEDP,2.8
1991,APR,EGAT,4094.511
1991,APR,IMPORTED,55.24
1991,APR,DEDP,3.46
1991,AUG,EGAT,4275.792
1991,AUG,IMPORTED,85.75
1991,AUG,DEDP,0.98
1991,DEC,EGAT,4140.7519999999995
1991,DEC,IMPORTED,25
1991,DEC,DEDP,1.95
1991,FEB,EGAT,3496.291
1991,FEB,IMPORTED,42.69
1991,FEB,DEDP,1.05
1991,JAN,EGAT,3922.1710000000003
1991,JAN,IMPORTED,40.98
1991,JAN,DEDP,0.79
1991,JUL,EGAT,4351.8820000000005
1991,JUL,IMPORTED,69.66
1991,JUL,DEDP,1.1
1991,JUN,EGAT,4228.771000000001
1991,JUN,IMPORTED,40.22
1991,JUN,DEDP,2.92
1991,MAR,EGAT,4347.602
1991,MAR,IMPORTED,41.99
1991,MAR,DEDP,1.4
1991,MAY,EGAT,4431.0109999999995
1991,MAY,IMPORTED,35.24
1991,MAY,DEDP,1.89
1991,NOV,EGAT,4124.642000000001
1991,NOV,IMPORTED,49.49
1991,NOV,DEDP,3.01
1991,OCT,EGAT,4374.841
1991,OCT,IMPORTED,50.27
1991,OCT,DEDP,6.74
1991,SEP,EGAT,4303.471
1991,SEP,IMPORTED,56.58
1991,SEP,DEDP,3.36
1992,APR,EGAT,4860.844
1992,APR,IMPORTED,29.11
1992,APR,DEDP,1.973
1992,AUG,EGAT,4901.9929999999995
1992,AUG,IMPORTED,75.4
1992,AUG,DEDP,0.59
1992,DEC,EGAT,4703.212
1992,DEC,IMPORTED,19.73
1992,DEC,DEDP,1.52
1992,FEB,EGAT,4162.0
1992,FEB,IMPORTED,35.23
1992,FEB,DEDP,1.78
1992,JAN,EGAT,4206.1900000000005
1992,JAN,IMPORTED,23.44
1992,JAN,DEDP,1.59
1992,JUL,EGAT,4936.9220000000005
1992,JUL,IMPORTED,69.72
1992,JUL,DEDP,0.5
1992,JUN,EGAT,4856.64
1992,JUN,IMPORTED,46.55
