YEAR_PRD,MONTH_PRD,FUELTYPE,QTY
1986,APR,Hydro Electricity,633.91
1986,APR,Fuel Oil,333.95
1986,APR,Coal & Lignite,336.14
1986,APR,Natural Gas,817.25
1986,APR,Diesel,0.49
1986,APR,Imported,33.79
1986,AUG,Hydro Electricity,542
1986,AUG,Fuel Oil,246.9
1986,AUG,Coal & Lignite,517.4
1986,AUG,Natural Gas,800.96
1986,AUG,Diesel,0.38
1986,AUG,Imported,91.24
1986,DEC,Hydro Electricity,229.09
1986,DEC,Fuel Oil,265.77
1986,DEC,Coal & Lignite,589.38
1986,DEC,Natural Gas,966.21
1986,DEC,Diesel,0.09
1986,DEC,Imported,43
1986,FEB,Hydro Electricity,391.76
1986,FEB,Fuel Oil,288.67
1986,FEB,Coal & Lignite,323.55
1986,FEB,Natural Gas,755.35
1986,FEB,Diesel,2.05
1986,FEB,Imported,52.14
1986,JAN,Hydro Electricity,218.9
1986,JAN,Fuel Oil,229.46
1986,JAN,Coal & Lignite,512.63
1986,JAN,Natural Gas,880.34
1986,JAN,Diesel,0.19
1986,JAN,Imported,57
1986,JUL,Hydro Electricity,525.44
1986,JUL,Fuel Oil,243.03
1986,JUL,Coal & Lignite,496.77
1986,JUL,Natural Gas,820.81
1986,JUL,Diesel,0.38
1986,JUL,Imported,92.74
1986,JUN,Hydro Electricity,615.11
1986,JUN,Fuel Oil,208.12
1986,JUN,Coal & Lignite,449.51
1986,JUN,Natural Gas,845.57
1986,JUN,Diesel,0.6
1986,JUN,Imported,65.32
1986,MAR,Hydro Electricity,629.74
1986,MAR,Fuel Oil,227.37
1986,MAR,Coal & Lignite,331.95
1986,MAR,Natural Gas,899.54
1986,MAR,Diesel,4.97
1986,MAR,Imported,41.86
1986,MAY,Hydro Electricity,498.05
1986,MAY,Fuel Oil,302.11
1986,MAY,Coal & Lignite,404.26
1986,MAY,Natural Gas,900.01
1986,MAY,Diesel,0.64
1986,MAY,Imported,47.28
1986,NOV,Hydro Electricity,407.21
1986,NOV,Fuel Oil,261.86
1986,NOV,Coal & Lignite,496.34
1986,NOV,Natural Gas,923.61
1986,NOV,Diesel,0.11
1986,NOV,Imported,61.92
1986,OCT,Hydro Electricity,362.4
1986,OCT,Fuel Oil,357.69
1986,OCT,Coal & Lignite,579.68
1986,OCT,Natural Gas,901.73
1986,OCT,Diesel,0.17
1986,OCT,Imported,75.31
1986,SEP,Hydro Electricity,478.09
1986,SEP,Fuel Oil,369.95
1986,SEP,Coal & Lignite,503.67
1986,SEP,Natural Gas,740.33
1986,SEP,Diesel,0.17
1986,SEP,Imported,96.78
1987,APR,Hydro Electricity,485.04
1987,APR,Fuel Oil,197.22
1987,APR,Coal & Lignite,598.14
1987,APR,Natural Gas,1134.38
1987,APR,Diesel,0.17
1987,APR,Imported,34.66
1987,AUG,Hydro Electricity,379.76
1987,AUG,Fuel Oil,156.56
1987,AUG,Coal & Lignite,607.47
1987,AUG,Natural Gas,1375.53
1987,AUG,Diesel,0.19
1987,AUG,Imported,24.92
1987,DEC,Hydro Electricity,123.51
1987,DEC,Fuel Oil,230.59
1987,DEC,Coal & Lignite,533.74
1987,DEC,Natural Gas,1335.9
1987,DEC,Diesel,0.03
1987,DEC,Imported,64.95
1987,DEC,Renewable Energy,0.96
1987,FEB,Hydro Electricity,402.57
1987,FEB,Fuel Oil,182.33
1987,FEB,Coal & Lignite,457.4
1987,FEB,Natural Gas,1014.48
1987,FEB,Diesel,0.15
1987,FEB,Imported,33.13
1987,JAN,Hydro Electricity,265.68
1987,JAN,Fuel Oil,227.8
1987,JAN,Coal & Lignite,579.36
1987,JAN,Natural Gas,1013.43
1987,JAN,Diesel,0.21
1987,JAN,Imported,39.23
1987,JUL,Hydro Electricity,384.67
1987,JUL,Fuel Oil,152.56
1987,JUL,Coal & Lignite,585.69
1987,JUL,Natural Gas,1405.16
1987,JUL,Diesel,0.24
1987,JUL,Imported,17.9
1987,JUN,Hydro Electricity,340.68
1987,JUN,Fuel Oil,136.2
1987,JUN,Coal & Lignite,512.04
1987,JUN,Natural Gas,1445.47
1987,JUN,Diesel,0.18
1987,JUN,Imported,31.82
1987,MAR,Hydro Electricity,541.6
1987,MAR,Fuel Oil,137.06
1987,MAR,Coal & Lignite,610.99
1987,MAR,Natural Gas,1150.4
1987,MAR,Diesel,0.57
1987,MAR,Imported,31.59
1987,MAY,Hydro Electricity,409.23
1987,MAY,Fuel Oil,245.44
1987,MAY,Coal & Lignite,576.18
1987,MAY,Natural Gas,1267.82
1987,MAY,Diesel,0.2
1987,MAY,Imported,29.97
1987,NOV,Hydro Electricity,241.01
1987,NOV,Fuel Oil,195.15
1987,NOV,Coal & Lignite,515.53
1987,NOV,Natural Gas,1467.48
1987,NOV,Diesel,0.08
1987,NOV,Imported,50.73
